,0
0,1.122840166091919
1,1.0251822471618652
2,0.9558924436569214
3,0.8754829168319702
4,0.789349377155304
5,0.6994760632514954
6,0.6106343865394592
7,0.5274603962898254
8,0.45377203822135925
9,0.39106491208076477
10,0.33879297971725464
11,0.29489460587501526
12,0.2582217752933502
13,0.22836682200431824
14,0.2029581516981125
15,0.17884500324726105
16,0.15670658648014069
17,0.13831672072410583
18,0.1225874051451683
19,0.1075439602136612
20,0.09404696524143219
21,0.08422693610191345
22,0.07744964957237244
23,0.0718994289636612
24,0.068393774330616
25,0.06624577939510345
26,0.0629243329167366
27,0.05900026857852936
28,0.05574578791856766
29,0.05266526713967323
30,0.05015194043517113
31,0.04893868789076805
32,0.04820791631937027
33,0.04738420620560646
34,0.046729616820812225
35,0.04597443342208862
36,0.04489003121852875
37,0.04395238682627678
38,0.04317314922809601
39,0.042404066771268845
40,0.04202588275074959
41,0.04183129966259003
42,0.04149970784783363
43,0.04114692658185959
44,0.04072093591094017
45,0.04007885232567787
46,0.039484523236751556
47,0.03901831433176994
48,0.03859739750623703
49,0.03832362964749336
50,0.038107968866825104
51,0.03784054145216942
52,0.03754492104053497
53,0.037182558327913284
54,0.03675556927919388
55,0.0362965390086174
56,0.0357944518327713
57,0.035596683621406555
58,0.035460252314805984
59,0.035306502133607864
60,0.03509487584233284
61,0.03483430668711662
62,0.034531641751527786
63,0.03417298570275307
64,0.033738017082214355
65,0.033378709107637405
66,0.03313526511192322
67,0.032849013805389404
68,0.032547373324632645
69,0.032217416912317276
70,0.03191486746072769
71,0.03145107254385948
72,0.031059084460139275
73,0.030746817588806152
74,0.030416229739785194
75,0.02999797649681568
76,0.029679080471396446
77,0.029374396428465843
78,0.029012314975261688
79,0.028603553771972656
80,0.028162412345409393
81,0.027735738083720207
82,0.0272710882127285
83,0.026942022144794464
84,0.026505297049880028
85,0.025912530720233917
86,0.025474684312939644
87,0.02502211555838585
88,0.024524332955479622
89,0.02404065988957882
90,0.023683471605181694
91,0.02308051660656929
92,0.022651255130767822
93,0.022215360775589943
94,0.0217739325016737
95,0.021298956125974655
96,0.02072971686720848
97,0.0202250424772501
98,0.019723501056432724
99,0.019305450841784477
